unix,low,high,open,close,BTC-USD volume
1628985600,45525.19,47400,47109.64,47014.49,7745.702008
1628899200,46034.93,48176.52,47833.64,47109.65,8130.367694
1628812800,44249.64,47953.9,44422.15,47833.64,11794.94196
1628726400,43714.36,46223.95,45553.1,44422.14,13169.78177
1628640000,45350.74,46781.09,45601.82,45553.49,11628.32044
1628553600,44650.27,46718.44,46280,45595.66,13756.50067
1628467200,42821.3,46497.42,43829.15,46285.48,19464.72494
1628380800,43131.97,45363.83,44628.11,43829.14,18712.27158
1628294400,42457.27,44750,42869.59,44637.34,19634.79476
1628208000,39876.74,43399.26,40888.73,42869.58,20425.11454
1628121600,37300,41447.89,39718.9,40888.74,28507.85533
1628035200,37509,39965.1,38189.4,39722.41,15327.67625
1627948800,37627.21,39785.3,39149.59,38191.44,15094.8174
1627862400,38690,40459.68,39859.18,39149.59,12379.41217
1627776000,39426,42605.64,41499,39865.41,10617.67293
1627689600,41064.11,42414.61,42233.66,41495.01,9351.942886
1627603200,38342,42320.57,40039.44,42237.95,15063.23441
1627516800,39229.47,40644.85,40035.1,40039.44,11022.42513
1627430400,38803.34,40925.56,39475.99,40035.1,27198.33358
1627344000,36413.26,39550,37262.76,39470.48,24709.10441
1627257600,35251.54,40593.93,35428.25,37262.77,40354.54556
1627171200,33888.89,35451.04,34291.67,35428.26,9434.630023
1627084800,33424.7,34525,33647.27,34283.01,9864.752437
1626998400,32000,33647.27,32287.75,33647.26,9004.842626
1626912000,31729.68,32611.84,32152.68,32287.74,7704.640463
1626825600,29501.02,32825,29796.15,32135.19,15598.47831
1626739200,29301.56,31052.65,30842.04,29796.16,18114.15286
1626652800,30429.99,31887.82,31786.37,30842.03,11027.00529
1626566400,31125.6,32450,31533.9,31788.25,5006.483105
1626480000,31179.01,31949.99,31389.57,31533.91,5695.574116
1626393600,31025.42,32259.16,31872.49,31388.06,10006.47794
1626307200,31064.77,33187.6,32815.75,31868.68,11273.61174
1626220800,31600,33125.55,32734.14,32816.39,10355.3187
1626134400,32201.12,33337.61,33077.43,32734.14,9478.042189
1626048000,32665,34670,34259.22,33091.1,10145.24047
1625961600,33333.33,34607.37,33515.35,34259.23,7023.065005
1625875200,33027.83,34267.14,33824.25,33515.35,4906.245822
1625788800,32255.24,34100,32875.95,33824.26,8320.906493
1625702400,32111,33934.62,33879.5,32875.95,14147.35252
1625616000,33770.01,35077.46,34225.72,33878.56,9404.897987
1625529600,33300,35100,33697.78,34225.73,10313.01368
1625443200,33156.86,35290.82,35284.06,33697.78,9607.606199
1625356800,34390.53,35951,34685.03,35284.05,6224.03057
1625270400,33320,34953.07,33805.01,34682.16,6197.801129
1625184000,32704.73,33972.06,33510.93,33805.02,11765.6539
1625097600,32703.48,35066.54,35060,33516.11,13210.95097
1625011200,34033,36094.42,35906.17,35060,16700.72309
1624924800,34233.35,36675,34493.22,35904.28,17917.59826
1624838400,33864.99,35301.43,34708.53,34493.22,14920.26479
1624752000,32002.21,34749,32267.59,34709.23,14428.92979
1624665600,30173.49,32711.68,31594.62,32275.19,18299.38703
1624579200,31300,35500,34654.87,31594.63,26505.19267
1624492800,32300,35295.67,33688.51,34654.58,16868.94085
1624406400,31708.03,34881.02,32538.9,33688.35,23124.81248
1624320000,28800,33352,31609.82,32538.37,48409.17333
1624233600,31259,35741.54,35585.79,31609.82,41304.39904
1624147200,33347.05,36139.73,35484.8,35585.78,19400.07454
1624060800,34833.26,36457.18,35840.96,35484.79,16801.08671
1623974400,35153.16,38216.22,38103.94,35841.81,23472.37724
1623888000,37365.63,39554.98,38351,38095.17,15970.35032
1623801600,38105,40499,40158.06,38351,17238.57541
1623715200,39510.98,41322.55,40537.93,40162.37,17020.70299
1623628800,38744.83,41076.03,39015.24,40539.47,21916.84416
1623542400,34780.57,39396,35557.32,39015.24,15748.96204
1623456000,34635.47,37448,37340.08,35557.33,14516.54556
1623369600,35944,37695,36694.91,37338.44,14142.1935
1623283200,35800,38425.67,37404.75,36694.05,19853.81419
1623196800,32408.53,37573.99,33402.13,37403.86,26040.89793
1623110400,31004.95,34069,33567.26,33402.13,34937.55755
1623024000,33333,36812.39,35800.48,33575.91,18997.71627
1622937600,35258,36477.86,35539.97,35800.48,8184.503243
1622851200,34832.17,37921.35,36856.53,35539.49,13654.69033
1622764800,35593.22,39291.24,39248.54,36856.52,17917.63251
1622678400,37184.88,39489.82,37581.83,39248.55,14325.75607
1622592000,35920,38237.37,36684.99,37577.91,13952.35891
1622505600,35669.14,37918.97,37276.23,36685,15713.10282
1622419200,34183,37534.09,35669.44,37279.31,19527.116
1622332800,33333,36500,34627.81,35669.44,16038.94658
1622246400,33650.86,37325,35680.48,34627.82,27999.15073
1622160000,34688,38900,38556.88,35680.47,36231.72334
1622073600,37191.99,40440.95,39293.23,38556.88,19390.89447
1621987200,37837.36,40900,38361.81,39293.23,25107.68631
1621900800,36481.26,39878.51,38874.53,38361.81,26107.55687
1621814400,34407.17,39966.87,34758.88,38878.56,44419.45828
1621728000,31111,38319.36,37476.84,34758.67,53433.30297
1621641600,35257.52,38889.76,37333.09,37476.83,29239.02738
1621555200,33501.54,42275.99,40623.24,37340.77,55961.90006
1621468800,35000,42605,36735.44,40623.33,51445.79736
1621382400,30000,43591.7,42865.05,36731.75,109537.2423
1621296000,42300,45851,43571.89,42857.15,28210.30024
1621209600,42101,46646.15,46450.78,43580.5,43660.22208
1621123200,43825,49808.28,46771.01,46450.79,30655.33065
1621036800,46573,50730.58,49893.48,46775.51,21936.11455
1620950400,48895,51569.56,49682.28,49893.48,21987.79362
1620864000,46000,52500,49498.76,49690.11,42250.08741
1620777600,48500,58041,56753.19,49498.77,29660.84274
1620691200,54511.48,56962.07,55866.38,56753.19,15446.63592
1620604800,53600,59592.2,58313.84,55866.41,24647.23541
1620518400,56265.3,59300.52,58958.06,58312.57,17169.72319
1620432000,56980.01,59559.84,57380.39,58958.05,15374.94443
1620345600,55300,58735.95,56444.82,57380.39,18323.8958
1620259200,55288,58400,57515.69,56440.66,18244.13605
1620172800,52913.02,57980.86,53241.91,57515.69,22918.90459
1620086400,53057.7,57247.24,57212.73,53241.92,23492.05868
1.62E+09,56500,58986,56625.21,57212.73,15165.00649
1619913600,56072,57972.26,57859.28,56625.2,7647.625781
1619827200,57050.94,58550,57798.77,57859.28,10787.04933
1619740800,53068.43,58075.01,53580,57798.77,16536.33289
1619654400,52369.61,55226.86,54889.81,53580,14592.31689
1619568000,53887,56476.17,55069.61,54894.03,16484.33678
1619481600,53321,55509.39,54047.8,55069.62,13957.0865
1619395200,48817.62,54400,49121,54053.6,18005.22399
1619308800,47044.01,50591.38,50101.42,49121,14633.51207
1619222400,48726.87,51260.61,51187.75,50089.15,11839.14356
1619136000,47464.65,52130.58,51695.98,51187.27,38794.85818
1619049600,50400,55469.98,53795.62,51701.59,30427.89154
1618963200,53620.91,56810.56,56477.67,53800.86,15584.08398
1618876800,53430.01,57111,55696.83,56499.29,18608.27984
1618790400,54187.85,57600,56273.65,55696.83,16838.39172
1618704000,51300,60437.97,60067.2,56274.41,36891.70959
1618617600,59700,62572.48,61427.27,60058.86,10847.76786
1618531200,60048.43,63604.34,63229.04,61427.27,19867.41322
1618444800,62036.73,63831.82,62971.8,63229.04,11209.45053
1618358400,61277.91,64899,63588.22,62971.8,22570.84113
1618272000,59799.01,63774.39,59836.88,63588.22,17897.76603
1618185600,59369,61199,59983.66,59839.82,11467.72753
1618099200,59177.06,60658.89,59778.59,59985.26,7278.965167
1618012800,57875.41,61218.97,58092.68,59778.6,12817.81107
1617926400,57670.51,58869.69,58083.1,58092.68,8094.746297
1617840000,55700,58152,55962.67,58083.1,8073.597317
1617753600,55400,58630,58021.67,55955.75,17787.29445
1617667200,57333.33,59475,59134.07,58019.98,10354.33015
1617580800,56817.64,59251.76,58216.73,59123.02,9204.863239
1617494400,56478.53,58500,57094.34,58215.94,6301.431879
1617408000,56943,59752,58981.04,57094.34,8405.264005
1617321600,58441.88,60055.02,58726.47,58981.04,10966.93018
1617235200,57930,59474.94,58800.01,58726.48,11096.33005
1617148800,56873.8,59800,58786.46,58800,17376.62673
1617062400,57000,59397.48,57613.76,58786.46,15105.07669
1616976000,54900,58400,55781.22,57613.48,17552.36885
1616889600,54701,56587.08,55856.54,55778.82,9235.803023
1616803200,53966,56640,55080.9,55856.53,11333.3335
1616716800,51250,55125.13,51320.76,55072.44,17843.00738
1616630400,50305,53238,52259.69,51325.01,29642.04416
1616544000,51673.82,57209.97,54333.27,52276.16,23775.21363
1616457600,53000,55858,54111.49,54345.54,19221.75674
1616371200,53739.5,58421.68,57377.29,54110.07,19512.15647
1616284800,55543.89,58651.22,58126.34,57363.32,11841.63878
1616198400,57827.97,59928,58026.91,58116.7,9725.281237
1616112000,56260,59461.99,57644.95,58039.66,16429.62974
1616025600,56996.15,60100,58925.54,57644.95,21459.49624
1615939200,54138.01,58996.38,56924.26,58925.54,22687.57433
1615852800,53221,56970,55629.08,56927.11,24432.37879
1615766400,54568,60601.07,58972.71,55636.15,31651.39184
1615680000,58950,61680,61181.38,58972.7,13581.96759
1615593600,56083.74,61788.45,57220.84,61178.5,22301.28589
1615507200,55050,58065.92,57820.15,57225.91,21760.53824
1615420800,54283,58113,55888.7,57815.47,24369.21217
1615334400,53025,57402.14,54921.61,55890.69,28326.07771
1615248000,51845.01,54936,52413.17,54916.38,21177.14954
1615161600,49328.62,52425,50976.22,52415.23,18856.28684
1615075200,48909.83,51459,48909.84,50978.61,13965.15473
1614988800,47077,49210,48766.01,48909.84,11877.83756
1614902400,46219.32,49473.99,48370.97,48769.47,25468.1803
1614816000,47502,51798.33,50370.33,48368.52,23386.97958
1614729600,48161.75,52666,48502.18,50360,21301.47724
1614643200,47075.11,50250,49635.3,48511.6,17063.56302
1614556800,45042.13,49829,45231.74,49639.4,25068.25044
1614470400,43016,46656,46169.92,45231.75,22745.606
1614384000,45055,48356.86,46319.79,46180.75,16290.28072
1614297600,44150,48464.64,47063.9,46326.2,36048.61819
1614211200,46700,52107.83,49737.81,47058.48,28011.20415
1614124800,47002,51415.41,48899.99,49737.82,30732.14949
1614038400,44888.08,54206.22,54125.67,48899.99,72300.58573
1613952000,46616,57577.69,57489.16,54142.13,49449.16576
1613865600,55531.23,58367,55921.44,57489.16,13530.43444
1613779200,54000.1,57563.57,55983.57,55923.52,22137.82194
1613692800,50725,56370.05,51596,55983.56,27961.48197
1613606400,50875,52549.99,52170.01,51601.73,15689.40275
1613520000,48942.87,52640.35,49141.43,52170.01,25675.17144
1613433600,47051.22,50645,47935.66,49158.71,23053.20561
1613347200,45768.46,49093.44,48667.23,47936.37,19432.15278
1613260800,47100.13,49700,47240.75,48680.69,15146.55244
1613174400,46300,48199,47408.34,47232.45,12020.87733
1613088000,46300,48912,47993.6,47408.34,23503.15584
1613001600,44011,48690,44850,47997.91,26222.60478
1612915200,43706.86,47349.99,46514.73,44850,25818.01158
1612828800,45020,48200,46453.66,46514.73,36418.79365
1612742400,38057.01,46750,38871.43,46448.1,47934.01039
1612656000,37371.35,39737.83,39266.1,38871.42,20297.87256
1612569600,38250,41000,38327.09,39265.43,27102.80603
1612483200,36605.87,38349,36976.59,38311.49,17842.70173
1612396800,36156.45,38769,37688.42,36975,31699.36292
1612310400,35393.8,37723.72,35513,37678.37,23781.96945
1612224000,33450,36000,33534.39,35512.67,19995.83908
1612137600,32333,34728.57,33137.75,33533.19,21975.41378
1612051200,32200,34387.75,34315.63,33137.74,16436.39758
1611964800,32852.86,34900,34262.11,34315.63,21362.15174
1611878400,31990,38570.13,33487.92,34262.11,72641.07975
1611792000,29902.14,34000,30414.11,33488.99,36007.06269
1611705600,29156,32584.62,32510.82,30407.13,46207.08537
1611619200,30830,32960.37,32260.52,32510.82,23535.83892
1611532800,31920.8,34888,32293.18,32261.87,23045.66293
1611446400,30931.21,33086.53,32110,32288.56,13618.80098
1611360000,31432.19,33488.79,32982.66,32112.01,16139.81478
1611273600,28732,33867,30855.9,32984.93,48155.72162
1611187200,30011,35628.24,35498.85,30855.95,50473.11375
1611100800,33387.01,36415.34,35921.91,35503.09,25445.70801
1611014400,35895.11,37857,36624.23,35917.28,18904.77911
1610928000,34736.46,37402,35820.01,36624.23,16609.64108
1610841600,33850.03,36860,36004.8,35820,19182.04935
1610755200,35372.59,37948,36754.6,36006.94,20861.42545
1610668800,34298.93,39697,39123.05,36754.67,36421.05919
1610582400,36751.11,40127.66,37393.67,39125.14,31868.76049
1610496000,32309.04,37888,34035.53,37393.66,39608.73719
1610409600,32500,36604.51,35456.89,34038.98,48227.62752
1610323200,30100,38273.88,38168.89,35452.59,102503.1567
1610236800,34444,41452.12,40257.43,38171.57,43736.57032
1610150400,38800,41406.94,40642.15,40257.43,27152.97103
1610064000,36565.08,41986.37,39510.55,40665.15,48522.4849
1609977600,36200,40425,36859.26,39505.56,50346.30569
1609891200,33352.54,37000,34043.91,36859.26,45744.1032
1609804800,29891.13,34499.67,32020.22,34030.64,42282.5692
1609718400,27678,33666.99,33082.84,32019.99,46045.38969
1609632000,32008.62,34810,32222.88,33080.66,36951.71651
1609545600,29039,33300,29413.29,32225.91,46675.24652
1609459200,28700,29688.88,28990.08,29412.84,22211.25252
1609372800,28000,29321.9,28897.42,28990.08,28813.88691
1609286400,27311.73,29018.26,27366.35,28897.42,28181.49681
1609200000,25833.73,27396.77,27039.39,27366.35,20668.10434
1609113600,26086.19,27477,26255.16,27040.36,21265.70935
